Time Rate1 Rate2 Rate3 Rate4 Rate5 Rate6
77281.0 0 0 0 0 0 0
77281.1 0 0 0 0 0 0
77281.2 0 0 0 0 0 0
77281.3 0 0 0 0 0 0
77281.4 0 0 0 0 0 0
77281.5 0 0 0 0 0 0
77281.6 0 0 0 0 0 0
77281.7 0 0 0 0 0 0
77281.8 0 0 0 0 0 0
77281.9 0 0 0 0 0 0
77282.0 0 0 0 0 0 0
77282.1 0 0 0 0 0 0
77282.2 0 0 0 0 0 0
77282.3 0 0 0 0 0 0
77282.4 0 0 0 0 0 0
77282.5 0 0 0 0 0 0
77282.6 0 0 0 0 0 0
77282.7 0 0 0 0 0 0
77282.8 0 0 0 0 0 0
77282.9 0 0 0 0 0 0
77283.0 0 0 0 0 0 0
77283.1 0 0 1 0 0 0
77283.2 0 0 0 0 0 0
77283.3 0 0 0 0 0 0
77283.4 0 0 0 0 0 0
77283.5 0 0 0 0 0 0
77283.6 0 0 0 0 0 0
77283.7 0 0 0 0 0 0
77283.8 0 0 0 0 0 0
77283.9 0 0 0 0 0 0
77284.0 0 0 0 0 0 0
77284.1 0 0 0 0 0 0
77284.2 0 0 0 0 0 0
77284.3 0 0 0 0 0 0
77284.4 0 0 0 0 0 0
77284.5 0 0 0 0 0 0
77284.6 0 0 0 0 0 0
77284.7 0 0 0 0 0 0
77284.8 0 1 1 0 0 1
77284.9 0 0 0 0 0 0
77285.0 0 0 0 0 0 0
77285.1 0 0 0 0 0 0
77285.2 0 0 1 6 0 0
77285.3 0 0 0 1 0 0
77285.4 0 1 0 0 0 1
77285.5 0 0 1 2 0 0
77285.6 1 0 0 1 0 2
77285.7 0 0 0 1 0 0
77285.8 0 0 0 1 0 0
77285.9 0 0 0 1 0 0
77286.0 0 0 0 1 1 0
77286.1 1 0 0 1 0 0
77286.2 0 0 0 1 0 0
77286.3 1 0 0 1 0 0
77286.4 1 0 0 0 0 0
77286.5 0 0 0 1 0 0
77286.6 0 0 0 2 1 0
