#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19940401_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1994-04-16T00:00:00.000Z,597,-43,,
1994-04-16T00:05:00.000Z,572,-44,,
1994-04-16T00:10:00.000Z,653,-43,,
1994-04-16T00:15:00.000Z,705,-44,,
1994-04-16T00:20:00.000Z,628,-45,,
1994-04-16T00:25:00.000Z,528,-46,,
1994-04-16T00:30:00.000Z,557,-44,,
1994-04-16T00:35:00.000Z,525,-46,,
1994-04-16T00:40:00.000Z,503,-46,,
1994-04-16T00:45:00.000Z,503,-46,,
1994-04-16T00:50:00.000Z,496,-45,,
1994-04-16T00:55:00.000Z,473,-44,,
1994-04-16T01:00:00.000Z,459,-44,,
1994-04-16T01:05:00.000Z,514,-43,,
1994-04-16T01:10:00.000Z,572,-42,,
1994-04-16T01:15:00.000Z,582,-43,,
1994-04-16T01:20:00.000Z,549,-45,,
1994-04-16T01:25:00.000Z,459,-46,,
1994-04-16T01:30:00.000Z,398,-46,,
1994-04-16T01:35:00.000Z,419,-45,,
1994-04-16T01:40:00.000Z,411,-44,,
1994-04-16T01:45:00.000Z,353,-44,,
1994-04-16T01:50:00.000Z,324,-45,,
1994-04-16T01:55:00.000Z,380,-46,,
1994-04-16T02:00:00.000Z,439,-45,,
1994-04-16T02:05:00.000Z,419,-45,,
1994-04-16T02:10:00.000Z,417,-45,,
1994-04-16T02:15:00.000Z,401,-45,,
1994-04-16T02:20:00.000Z,344,-46,,
1994-04-16T02:25:00.000Z,343,-47,,
1994-04-16T02:30:00.000Z,405,-47,,
1994-04-16T02:35:00.000Z,465,-46,,
1994-04-16T02:40:00.000Z,461,-46,,
1994-04-16T02:45:00.000Z,450,-46,,
1994-04-16T02:50:00.000Z,415,-48,,
1994-04-16T02:55:00.000Z,507,-49,,
1994-04-16T03:00:00.000Z,547,-49,,
1994-04-16T03:05:00.000Z,590,-48,,
1994-04-16T03:10:00.000Z,630,-51,,
1994-04-16T03:15:00.000Z,634,-53,,
1994-04-16T03:20:00.000Z,680,-55,,
1994-04-16T03:25:00.000Z,658,-59,,
1994-04-16T03:30:00.000Z,860,-60,,
1994-04-16T03:35:00.000Z,872,-57,,
1994-04-16T03:40:00.000Z,1014,-53,,
1994-04-16T03:45:00.000Z,953,-54,,
1994-04-16T03:50:00.000Z,822,-57,,
1994-04-16T03:55:00.000Z,853,-59,,
1994-04-16T04:00:00.000Z,873,-60,,
1994-04-16T04:05:00.000Z,610,-62,,
1994-04-16T04:10:00.000Z,881,-62,,
1994-04-16T04:15:00.000Z,778,-62,,
1994-04-16T04:20:00.000Z,800,-65,,
1994-04-16T04:25:00.000Z,966,-67,,
1994-04-16T04:30:00.000Z,990,-66,,
1994-04-16T04:35:00.000Z,859,-66,,
1994-04-16T04:40:00.000Z,930,-66,,
1994-04-16T04:45:00.000Z,904,-66,,
1994-04-16T04:50:00.000Z,820,-67,,
1994-04-16T04:55:00.000Z,704,-68,,
1994-04-16T05:00:00.000Z,730,-68,,
1994-04-16T05:05:00.000Z,681,-68,,
1994-04-16T05:10:00.000Z,797,-65,,
1994-04-16T05:15:00.000Z,796,-65,,
1994-04-16T05:20:00.000Z,715,-65,,
1994-04-16T05:25:00.000Z,616,-64,,
1994-04-16T05:30:00.000Z,578,-62,,
1994-04-16T05:35:00.000Z,572,-62,,
1994-04-16T05:40:00.000Z,679,-61,,
1994-04-16T05:45:00.000Z,588,-61,,
1994-04-16T05:50:00.000Z,603,-60,,
1994-04-16T05:55:00.000Z,593,-57,,
1994-04-16T06:00:00.000Z,502,-57,,
1994-04-16T06:05:00.000Z,359,-58,,
1994-04-16T06:10:00.000Z,454,-56,,
1994-04-16T06:15:00.000Z,540,-54,,
1994-04-16T06:20:00.000Z,512,-54,,
1994-04-16T06:25:00.000Z,413,-55,,
1994-04-16T06:30:00.000Z,305,-56,,
