#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19921201_v01, omni_hro_5min_19930101_v01,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1992-12-28T00:00:00.000Z,119,5,,
1992-12-28T00:05:00.000Z,123,4,,
1992-12-28T00:10:00.000Z,111,4,,
1992-12-28T00:15:00.000Z,106,3,,
1992-12-28T00:20:00.000Z,109,4,,
1992-12-28T00:25:00.000Z,114,8,,
1992-12-28T00:30:00.000Z,133,12,,
1992-12-28T00:35:00.000Z,144,11,,
1992-12-28T00:40:00.000Z,154,10,,
1992-12-28T00:45:00.000Z,210,8,,
1992-12-28T00:50:00.000Z,177,2,,
1992-12-28T00:55:00.000Z,138,-1,,
1992-12-28T01:00:00.000Z,114,1,,
1992-12-28T01:05:00.000Z,117,0,,
1992-12-28T01:10:00.000Z,100,1,,
1992-12-28T01:15:00.000Z,146,2,,
1992-12-28T01:20:00.000Z,229,4,,
1992-12-28T01:25:00.000Z,325,4,,
1992-12-28T01:30:00.000Z,300,3,,
1992-12-28T01:35:00.000Z,283,1,,
1992-12-28T01:40:00.000Z,275,1,,
1992-12-28T01:45:00.000Z,236,3,,
1992-12-28T01:50:00.000Z,201,6,,
1992-12-28T01:55:00.000Z,200,15,,
1992-12-28T02:00:00.000Z,185,16,,
1992-12-28T02:05:00.000Z,152,16,,
1992-12-28T02:10:00.000Z,125,15,,
1992-12-28T02:15:00.000Z,92,16,,
1992-12-28T02:20:00.000Z,97,17,,
1992-12-28T02:25:00.000Z,93,17,,
1992-12-28T02:30:00.000Z,67,17,,
1992-12-28T02:35:00.000Z,63,18,,
1992-12-28T02:40:00.000Z,57,18,,
1992-12-28T02:45:00.000Z,57,20,,
1992-12-28T02:50:00.000Z,48,21,,
1992-12-28T02:55:00.000Z,54,21,,
1992-12-28T03:00:00.000Z,51,20,,
1992-12-28T03:05:00.000Z,50,20,,
1992-12-28T03:10:00.000Z,55,20,,
1992-12-28T03:15:00.000Z,53,20,,
1992-12-28T03:20:00.000Z,62,21,,
1992-12-28T03:25:00.000Z,66,22,,
1992-12-28T03:30:00.000Z,64,20,,
1992-12-28T03:35:00.000Z,56,19,,
1992-12-28T03:40:00.000Z,53,19,,
1992-12-28T03:45:00.000Z,56,20,,
1992-12-28T03:50:00.000Z,65,19,,
1992-12-28T03:55:00.000Z,52,19,,
1992-12-28T04:00:00.000Z,65,18,,
1992-12-28T04:05:00.000Z,53,19,,
1992-12-28T04:10:00.000Z,59,18,,
1992-12-28T04:15:00.000Z,61,18,,
1992-12-28T04:20:00.000Z,61,18,,
1992-12-28T04:25:00.000Z,57,17,,
1992-12-28T04:30:00.000Z,55,17,,
1992-12-28T04:35:00.000Z,50,17,,
1992-12-28T04:40:00.000Z,45,17,,
1992-12-28T04:45:00.000Z,48,16,,
1992-12-28T04:50:00.000Z,54,15,,
1992-12-28T04:55:00.000Z,52,14,,
1992-12-28T05:00:00.000Z,57,14,,
1992-12-28T05:05:00.000Z,53,13,,
1992-12-28T05:10:00.000Z,51,12,,
1992-12-28T05:15:00.000Z,53,12,,
1992-12-28T05:20:00.000Z,59,11,,
1992-12-28T05:25:00.000Z,55,11,,
1992-12-28T05:30:00.000Z,77,12,,
1992-12-28T05:35:00.000Z,70,12,,
1992-12-28T05:40:00.000Z,101,14,,
1992-12-28T05:45:00.000Z,111,14,,
1992-12-28T05:50:00.000Z,101,15,,
1992-12-28T05:55:00.000Z,104,15,,
1992-12-28T06:00:00.000Z,99,16,,
1992-12-28T06:05:00.000Z,102,15,,
1992-12-28T06:10:00.000Z,116,13,,
1992-12-28T06:15:00.000Z,121,11,,
1992-12-28T06:20:00.000Z,121,9,,
1992-12-28T06:25:00.000Z,123,8,,
1992-12-28T06:30:00.000Z,118,6,,
1992-12-28T06:35:00.000Z,114,5,,
1992-12-28T06:40:00.000Z,124,4,,
1992-12-28T06:45:00.000Z,157,3,,
1992-12-28T06:50:00.000Z,217,4,,
