#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_19930201_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT
1993-02-17T00:00:00.000Z,28,-6
1993-02-17T00:05:00.000Z,28,-6
1993-02-17T00:10:00.000Z,29,-5
1993-02-17T00:15:00.000Z,32,-5
1993-02-17T00:20:00.000Z,30,-5
1993-02-17T00:25:00.000Z,35,-5
1993-02-17T00:30:00.000Z,32,-5
1993-02-17T00:35:00.000Z,31,-4
1993-02-17T00:40:00.000Z,33,-3
1993-02-17T00:45:00.000Z,34,-4
1993-02-17T00:50:00.000Z,33,-4
1993-02-17T00:55:00.000Z,33,-2
1993-02-17T01:00:00.000Z,33,-2
1993-02-17T01:05:00.000Z,32,-2
1993-02-17T01:10:00.000Z,32,-2
1993-02-17T01:15:00.000Z,33,-3
1993-02-17T01:20:00.000Z,32,-1
1993-02-17T01:25:00.000Z,35,-1
1993-02-17T01:30:00.000Z,32,-1
1993-02-17T01:35:00.000Z,32,0
1993-02-17T01:40:00.000Z,36,0
1993-02-17T01:45:00.000Z,32,0
1993-02-17T01:50:00.000Z,31,0
1993-02-17T01:55:00.000Z,31,0
1993-02-17T02:00:00.000Z,31,0
1993-02-17T02:05:00.000Z,30,0
1993-02-17T02:10:00.000Z,30,1
1993-02-17T02:15:00.000Z,29,1
1993-02-17T02:20:00.000Z,29,1
1993-02-17T02:25:00.000Z,29,0
1993-02-17T02:30:00.000Z,28,0
1993-02-17T02:35:00.000Z,35,-1
1993-02-17T02:40:00.000Z,35,-3
1993-02-17T02:45:00.000Z,27,-2
1993-02-17T02:50:00.000Z,30,-1
1993-02-17T02:55:00.000Z,34,2
1993-02-17T03:00:00.000Z,149,14
1993-02-17T03:05:00.000Z,236,34
1993-02-17T03:10:00.000Z,106,30
1993-02-17T03:15:00.000Z,81,29
1993-02-17T03:20:00.000Z,69,29
1993-02-17T03:25:00.000Z,57,29
1993-02-17T03:30:00.000Z,74,26
1993-02-17T03:35:00.000Z,73,28
1993-02-17T03:40:00.000Z,69,30
1993-02-17T03:45:00.000Z,70,32
1993-02-17T03:50:00.000Z,70,36
1993-02-17T03:55:00.000Z,75,27
1993-02-17T04:00:00.000Z,63,29
1993-02-17T04:05:00.000Z,68,29
1993-02-17T04:10:00.000Z,66,29
1993-02-17T04:15:00.000Z,87,29
1993-02-17T04:20:00.000Z,71,28
1993-02-17T04:25:00.000Z,54,27
1993-02-17T04:30:00.000Z,63,27
1993-02-17T04:35:00.000Z,67,28
1993-02-17T04:40:00.000Z,68,27
1993-02-17T04:45:00.000Z,66,26
1993-02-17T04:50:00.000Z,66,28
1993-02-17T04:55:00.000Z,82,31
1993-02-17T05:00:00.000Z,74,34
1993-02-17T05:05:00.000Z,80,35
1993-02-17T05:10:00.000Z,85,32
1993-02-17T05:15:00.000Z,77,27
1993-02-17T05:20:00.000Z,66,31
1993-02-17T05:25:00.000Z,80,33
1993-02-17T05:30:00.000Z,72,28
1993-02-17T05:35:00.000Z,40,34
1993-02-17T05:40:00.000Z,51,36
1993-02-17T05:45:00.000Z,62,32
1993-02-17T05:50:00.000Z,86,29
1993-02-17T05:55:00.000Z,62,28
1993-02-17T06:00:00.000Z,60,33
1993-02-17T06:05:00.000Z,63,33
1993-02-17T06:10:00.000Z,64,31
1993-02-17T06:15:00.000Z,55,33
1993-02-17T06:20:00.000Z,60,33
