#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19940201_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1994-02-21T00:00:00.000Z,66,-7,,
1994-02-21T00:05:00.000Z,58,-7,,
1994-02-21T00:10:00.000Z,61,-6,,
1994-02-21T00:15:00.000Z,91,-7,,
1994-02-21T00:20:00.000Z,78,-6,,
1994-02-21T00:25:00.000Z,75,-6,,
1994-02-21T00:30:00.000Z,74,-5,,
1994-02-21T00:35:00.000Z,90,-6,,
1994-02-21T00:40:00.000Z,75,-5,,
1994-02-21T00:45:00.000Z,68,-5,,
1994-02-21T00:50:00.000Z,64,-6,,
1994-02-21T00:55:00.000Z,68,-6,,
1994-02-21T01:00:00.000Z,77,-7,,
1994-02-21T01:05:00.000Z,87,-7,,
1994-02-21T01:10:00.000Z,96,-6,,
1994-02-21T01:15:00.000Z,127,-5,,
1994-02-21T01:20:00.000Z,225,-6,,
1994-02-21T01:25:00.000Z,261,-6,,
1994-02-21T01:30:00.000Z,285,-6,,
1994-02-21T01:35:00.000Z,269,-6,,
1994-02-21T01:40:00.000Z,223,-5,,
1994-02-21T01:45:00.000Z,196,-6,,
1994-02-21T01:50:00.000Z,213,-6,,
1994-02-21T01:55:00.000Z,183,-5,,
1994-02-21T02:00:00.000Z,160,-5,,
1994-02-21T02:05:00.000Z,189,-5,,
1994-02-21T02:10:00.000Z,190,-5,,
1994-02-21T02:15:00.000Z,180,-4,,
1994-02-21T02:20:00.000Z,180,-5,,
1994-02-21T02:25:00.000Z,177,-6,,
1994-02-21T02:30:00.000Z,183,-6,,
1994-02-21T02:35:00.000Z,168,-6,,
1994-02-21T02:40:00.000Z,174,-7,,
1994-02-21T02:45:00.000Z,152,-6,,
1994-02-21T02:50:00.000Z,166,-5,,
1994-02-21T02:55:00.000Z,147,-5,,
1994-02-21T03:00:00.000Z,149,-5,,
1994-02-21T03:05:00.000Z,141,-5,,
1994-02-21T03:10:00.000Z,135,-6,,
1994-02-21T03:15:00.000Z,129,-6,,
1994-02-21T03:20:00.000Z,129,-5,,
1994-02-21T03:25:00.000Z,172,-7,,
1994-02-21T03:30:00.000Z,131,-7,,
1994-02-21T03:35:00.000Z,181,-6,,
1994-02-21T03:40:00.000Z,102,-7,,
1994-02-21T03:45:00.000Z,94,-6,,
1994-02-21T03:50:00.000Z,142,-4,,
1994-02-21T03:55:00.000Z,156,-3,,
1994-02-21T04:00:00.000Z,179,-3,,
1994-02-21T04:05:00.000Z,206,-3,,
1994-02-21T04:10:00.000Z,189,-4,,
1994-02-21T04:15:00.000Z,144,-4,,
1994-02-21T04:20:00.000Z,121,-4,,
1994-02-21T04:25:00.000Z,115,-3,,
1994-02-21T04:30:00.000Z,139,-3,,
1994-02-21T04:35:00.000Z,123,-4,,
1994-02-21T04:40:00.000Z,109,-3,,
1994-02-21T04:45:00.000Z,91,-3,,
1994-02-21T04:50:00.000Z,81,-3,,
1994-02-21T04:55:00.000Z,73,-3,,
1994-02-21T05:00:00.000Z,85,-5,,
1994-02-21T05:05:00.000Z,89,-5,,
1994-02-21T05:10:00.000Z,88,-4,,
1994-02-21T05:15:00.000Z,94,-4,,
1994-02-21T05:20:00.000Z,95,-5,,
1994-02-21T05:25:00.000Z,97,-4,,
1994-02-21T05:30:00.000Z,103,-4,,
1994-02-21T05:35:00.000Z,95,-3,,
1994-02-21T05:40:00.000Z,75,-2,,
1994-02-21T05:45:00.000Z,72,-2,,
1994-02-21T05:50:00.000Z,71,-2,,
1994-02-21T05:55:00.000Z,65,-1,,
1994-02-21T06:00:00.000Z,51,0,,
1994-02-21T06:05:00.000Z,50,1,,
1994-02-21T06:10:00.000Z,65,1,,
1994-02-21T06:15:00.000Z,67,1,,
1994-02-21T06:20:00.000Z,81,2,,
1994-02-21T06:25:00.000Z,78,3,,
1994-02-21T06:30:00.000Z,94,4,,
1994-02-21T06:35:00.000Z,111,2,,
1994-02-21T06:40:00.000Z,130,1,,
1994-02-21T06:45:00.000Z,110,2,,
1994-02-21T06:50:00.000Z,101,2,,
1994-02-21T06:55:00.000Z,142,3,,
1994-02-21T07:00:00.000Z,148,3,,
1994-02-21T07:05:00.000Z,157,4,,
1994-02-21T07:10:00.000Z,184,5,,
1994-02-21T07:15:00.000Z,183,6,,
1994-02-21T07:20:00.000Z,225,7,,
1994-02-21T07:25:00.000Z,271,6,,
1994-02-21T07:30:00.000Z,255,5,,
1994-02-21T07:35:00.000Z,252,6,,
1994-02-21T07:40:00.000Z,314,3,,
1994-02-21T07:45:00.000Z,305,-1,,
1994-02-21T07:50:00.000Z,266,-1,,
1994-02-21T07:55:00.000Z,248,-2,,
1994-02-21T08:00:00.000Z,243,-2,,
1994-02-21T08:05:00.000Z,204,0,,
1994-02-21T08:10:00.000Z,201,0,,
1994-02-21T08:15:00.000Z,285,-1,,
1994-02-21T08:20:00.000Z,310,0,,
1994-02-21T08:25:00.000Z,453,0,,
1994-02-21T08:30:00.000Z,360,0,,
1994-02-21T08:35:00.000Z,376,-2,,
1994-02-21T08:40:00.000Z,519,3,,
1994-02-21T08:45:00.000Z,691,2,,
1994-02-21T08:50:00.000Z,692,-1,,
1994-02-21T08:55:00.000Z,669,8,,
1994-02-21T09:00:00.000Z,1455,45,,
1994-02-21T09:05:00.000Z,3197,50,,
1994-02-21T09:10:00.000Z,2836,37,,
1994-02-21T09:15:00.000Z,2382,38,,
1994-02-21T09:20:00.000Z,1843,48,,
1994-02-21T09:25:00.000Z,1735,50,,
1994-02-21T09:30:00.000Z,2293,46,,
1994-02-21T09:35:00.000Z,2393,41,,
1994-02-21T09:40:00.000Z,2325,32,,
1994-02-21T09:45:00.000Z,2172,38,,
1994-02-21T09:50:00.000Z,1714,41,,
1994-02-21T09:55:00.000Z,1524,39,,
1994-02-21T10:00:00.000Z,1806,39,,
1994-02-21T10:05:00.000Z,2150,38,,
1994-02-21T10:10:00.000Z,2117,38,,
1994-02-21T10:15:00.000Z,1866,37,,
1994-02-21T10:20:00.000Z,1615,32,,
1994-02-21T10:25:00.000Z,1642,21,,
1994-02-21T10:30:00.000Z,1507,20,,
1994-02-21T10:35:00.000Z,1518,23,,
1994-02-21T10:40:00.000Z,1640,16,,
1994-02-21T10:45:00.000Z,1212,25,,
1994-02-21T10:50:00.000Z,1075,28,,
1994-02-21T10:55:00.000Z,1457,25,,
1994-02-21T11:00:00.000Z,1438,22,,
1994-02-21T11:05:00.000Z,1357,5,,
1994-02-21T11:10:00.000Z,1147,1,,
1994-02-21T11:15:00.000Z,885,4,,
1994-02-21T11:20:00.000Z,946,4,,
1994-02-21T11:25:00.000Z,932,2,,
1994-02-21T11:30:00.000Z,668,4,,
1994-02-21T11:35:00.000Z,530,-5,,
1994-02-21T11:40:00.000Z,504,-6,,
1994-02-21T11:45:00.000Z,605,-8,,
1994-02-21T11:50:00.000Z,796,1,,
1994-02-21T11:55:00.000Z,998,3,,
1994-02-21T12:00:00.000Z,937,2,,
1994-02-21T12:05:00.000Z,831,4,,
1994-02-21T12:10:00.000Z,667,8,,
1994-02-21T12:15:00.000Z,597,10,,
1994-02-21T12:20:00.000Z,585,7,,
1994-02-21T12:25:00.000Z,594,3,,
1994-02-21T12:30:00.000Z,614,4,,
1994-02-21T12:35:00.000Z,605,-1,,
1994-02-21T12:40:00.000Z,610,-7,,
1994-02-21T12:45:00.000Z,671,-6,,
1994-02-21T12:50:00.000Z,879,2,,
1994-02-21T12:55:00.000Z,741,11,,
1994-02-21T13:00:00.000Z,627,18,,
1994-02-21T13:05:00.000Z,668,26,,
1994-02-21T13:10:00.000Z,698,26,,
1994-02-21T13:15:00.000Z,1020,28,,
1994-02-21T13:20:00.000Z,788,32,,
1994-02-21T13:25:00.000Z,745,31,,
1994-02-21T13:30:00.000Z,1044,5,,
1994-02-21T13:35:00.000Z,1163,-36,,
1994-02-21T13:40:00.000Z,709,-11,,
1994-02-21T13:45:00.000Z,983,12,,
