#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19920701_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1992-07-12T00:00:00.000Z,51,19,,
1992-07-12T00:05:00.000Z,47,17,,
1992-07-12T00:10:00.000Z,49,17,,
1992-07-12T00:15:00.000Z,53,20,,
1992-07-12T00:20:00.000Z,54,21,,
1992-07-12T00:25:00.000Z,57,23,,
1992-07-12T00:30:00.000Z,46,17,,
1992-07-12T00:35:00.000Z,56,10,,
1992-07-12T00:40:00.000Z,56,11,,
1992-07-12T00:45:00.000Z,63,16,,
1992-07-12T00:50:00.000Z,70,15,,
1992-07-12T00:55:00.000Z,56,3,,
1992-07-12T01:00:00.000Z,55,6,,
1992-07-12T01:05:00.000Z,44,8,,
1992-07-12T01:10:00.000Z,44,7,,
1992-07-12T01:15:00.000Z,45,7,,
1992-07-12T01:20:00.000Z,47,8,,
1992-07-12T01:25:00.000Z,47,9,,
1992-07-12T01:30:00.000Z,45,8,,
1992-07-12T01:35:00.000Z,37,8,,
1992-07-12T01:40:00.000Z,37,7,,
1992-07-12T01:45:00.000Z,40,7,,
1992-07-12T01:50:00.000Z,41,7,,
1992-07-12T01:55:00.000Z,40,7,,
1992-07-12T02:00:00.000Z,38,7,,
1992-07-12T02:05:00.000Z,39,7,,
1992-07-12T02:10:00.000Z,40,7,,
1992-07-12T02:15:00.000Z,40,7,,
1992-07-12T02:20:00.000Z,37,8,,
1992-07-12T02:25:00.000Z,42,8,,
1992-07-12T02:30:00.000Z,43,8,,
1992-07-12T02:35:00.000Z,43,8,,
1992-07-12T02:40:00.000Z,44,9,,
1992-07-12T02:45:00.000Z,46,9,,
1992-07-12T02:50:00.000Z,45,10,,
1992-07-12T02:55:00.000Z,52,14,,
1992-07-12T03:00:00.000Z,46,16,,
1992-07-12T03:05:00.000Z,45,16,,
1992-07-12T03:10:00.000Z,40,16,,
1992-07-12T03:15:00.000Z,39,16,,
1992-07-12T03:20:00.000Z,40,17,,
1992-07-12T03:25:00.000Z,42,17,,
1992-07-12T03:30:00.000Z,44,17,,
1992-07-12T03:35:00.000Z,46,17,,
1992-07-12T03:40:00.000Z,46,18,,
1992-07-12T03:45:00.000Z,44,20,,
1992-07-12T03:50:00.000Z,39,22,,
1992-07-12T03:55:00.000Z,35,23,,
1992-07-12T04:00:00.000Z,37,25,,
1992-07-12T04:05:00.000Z,32,24,,
1992-07-12T04:10:00.000Z,43,25,,
1992-07-12T04:15:00.000Z,119,26,,
1992-07-12T04:20:00.000Z,175,27,,
1992-07-12T04:25:00.000Z,216,27,,
1992-07-12T04:30:00.000Z,208,25,,
1992-07-12T04:35:00.000Z,223,22,,
1992-07-12T04:40:00.000Z,213,19,,
1992-07-12T04:45:00.000Z,234,17,,
1992-07-12T04:50:00.000Z,225,15,,
1992-07-12T04:55:00.000Z,237,13,,
1992-07-12T05:00:00.000Z,277,13,,
1992-07-12T05:05:00.000Z,365,13,,
1992-07-12T05:10:00.000Z,381,13,,
1992-07-12T05:15:00.000Z,423,11,,
1992-07-12T05:20:00.000Z,428,10,,
1992-07-12T05:25:00.000Z,441,8,,
1992-07-12T05:30:00.000Z,430,4,,
1992-07-12T05:35:00.000Z,393,3,,
1992-07-12T05:40:00.000Z,384,0,,
1992-07-12T05:45:00.000Z,348,-2,,
1992-07-12T05:50:00.000Z,360,-2,,
1992-07-12T05:55:00.000Z,393,-2,,
1992-07-12T06:00:00.000Z,398,-5,,
1992-07-12T06:05:00.000Z,371,-9,,
1992-07-12T06:10:00.000Z,342,-13,,
1992-07-12T06:15:00.000Z,404,-16,,
1992-07-12T06:20:00.000Z,438,-17,,
1992-07-12T06:25:00.000Z,431,-17,,
1992-07-12T06:30:00.000Z,442,-17,,
1992-07-12T06:35:00.000Z,485,-15,,
1992-07-12T06:40:00.000Z,477,-15,,
1992-07-12T06:45:00.000Z,404,-17,,
1992-07-12T06:50:00.000Z,462,-18,,
1992-07-12T06:55:00.000Z,428,-18,,
1992-07-12T07:00:00.000Z,470,-20,,
1992-07-12T07:05:00.000Z,455,-22,,
1992-07-12T07:10:00.000Z,432,-22,,
1992-07-12T07:15:00.000Z,428,-20,,
1992-07-12T07:20:00.000Z,411,-19,,
1992-07-12T07:25:00.000Z,393,-17,,
1992-07-12T07:30:00.000Z,404,-16,,
1992-07-12T07:35:00.000Z,383,-16,,
1992-07-12T07:40:00.000Z,353,-16,,
1992-07-12T07:45:00.000Z,351,-16,,
1992-07-12T07:50:00.000Z,384,-13,,
1992-07-12T07:55:00.000Z,424,-11,,
1992-07-12T08:00:00.000Z,395,-10,,
1992-07-12T08:05:00.000Z,353,-11,,
1992-07-12T08:10:00.000Z,343,-13,,
1992-07-12T08:15:00.000Z,375,-11,,
1992-07-12T08:20:00.000Z,408,-11,,
1992-07-12T08:25:00.000Z,403,-12,,
1992-07-12T08:30:00.000Z,361,-13,,
1992-07-12T08:35:00.000Z,358,-14,,
1992-07-12T08:40:00.000Z,357,-14,,
1992-07-12T08:45:00.000Z,365,-14,,
1992-07-12T08:50:00.000Z,354,-13,,
1992-07-12T08:55:00.000Z,371,-12,,
1992-07-12T09:00:00.000Z,333,-10,,
1992-07-12T09:05:00.000Z,341,-10,,
1992-07-12T09:10:00.000Z,381,-10,,
1992-07-12T09:15:00.000Z,498,-10,,
1992-07-12T09:20:00.000Z,662,-7,,
1992-07-12T09:25:00.000Z,708,-7,,
1992-07-12T09:30:00.000Z,637,-8,,
1992-07-12T09:35:00.000Z,641,-9,,
1992-07-12T09:40:00.000Z,607,-9,,
1992-07-12T09:45:00.000Z,613,-8,,
1992-07-12T09:50:00.000Z,632,-8,,
1992-07-12T09:55:00.000Z,646,-8,,
1992-07-12T10:00:00.000Z,651,-10,,
1992-07-12T10:05:00.000Z,639,-11,,
1992-07-12T10:10:00.000Z,615,-12,,
1992-07-12T10:15:00.000Z,623,-12,,
1992-07-12T10:20:00.000Z,620,-11,,
1992-07-12T10:25:00.000Z,616,-11,,
1992-07-12T10:30:00.000Z,536,-13,,
1992-07-12T10:35:00.000Z,547,-12,,
1992-07-12T10:40:00.000Z,475,-10,,
1992-07-12T10:45:00.000Z,440,-12,,
1992-07-12T10:50:00.000Z,421,-13,,
1992-07-12T10:55:00.000Z,458,-12,,
1992-07-12T11:00:00.000Z,452,-13,,
1992-07-12T11:05:00.000Z,432,-14,,
1992-07-12T11:10:00.000Z,412,-14,,
1992-07-12T11:15:00.000Z,400,-12,,
1992-07-12T11:20:00.000Z,421,-12,,
1992-07-12T11:25:00.000Z,447,-12,,
1992-07-12T11:30:00.000Z,471,-13,,
1992-07-12T11:35:00.000Z,492,-15,,
1992-07-12T11:40:00.000Z,484,-16,,
1992-07-12T11:45:00.000Z,482,-16,,
1992-07-12T11:50:00.000Z,499,-15,,
1992-07-12T11:55:00.000Z,596,-16,,
1992-07-12T12:00:00.000Z,602,-17,,
1992-07-12T12:05:00.000Z,676,-19,,
1992-07-12T12:10:00.000Z,685,-18,,
1992-07-12T12:15:00.000Z,691,-19,,
1992-07-12T12:20:00.000Z,762,-19,,
1992-07-12T12:25:00.000Z,697,-17,,
1992-07-12T12:30:00.000Z,657,-15,,
1992-07-12T12:35:00.000Z,575,-12,,
1992-07-12T12:40:00.000Z,459,-11,,
1992-07-12T12:45:00.000Z,454,-12,,
1992-07-12T12:50:00.000Z,442,-14,,
1992-07-12T12:55:00.000Z,525,-14,,
1992-07-12T13:00:00.000Z,592,-12,,
1992-07-12T13:05:00.000Z,626,-10,,
1992-07-12T13:10:00.000Z,583,-8,,
1992-07-12T13:15:00.000Z,482,-8,,
1992-07-12T13:20:00.000Z,413,-6,,
1992-07-12T13:25:00.000Z,332,-5,,
1992-07-12T13:30:00.000Z,288,-5,,
1992-07-12T13:35:00.000Z,216,-5,,
1992-07-12T13:40:00.000Z,163,-6,,
1992-07-12T13:45:00.000Z,154,-6,,
