#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19930301_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1993-03-11T00:00:00.000Z,291,-17,,
1993-03-11T00:05:00.000Z,303,-15,,
1993-03-11T00:10:00.000Z,283,-14,,
1993-03-11T00:15:00.000Z,267,-16,,
1993-03-11T00:20:00.000Z,307,-16,,
1993-03-11T00:25:00.000Z,326,-15,,
1993-03-11T00:30:00.000Z,309,-15,,
1993-03-11T00:35:00.000Z,253,-16,,
1993-03-11T00:40:00.000Z,258,-15,,
1993-03-11T00:45:00.000Z,229,-16,,
1993-03-11T00:50:00.000Z,210,-16,,
1993-03-11T00:55:00.000Z,195,-16,,
1993-03-11T01:00:00.000Z,191,-16,,
1993-03-11T01:05:00.000Z,187,-15,,
1993-03-11T01:10:00.000Z,191,-15,,
1993-03-11T01:15:00.000Z,155,-15,,
1993-03-11T01:20:00.000Z,143,-15,,
1993-03-11T01:25:00.000Z,147,-16,,
1993-03-11T01:30:00.000Z,123,-15,,
1993-03-11T01:35:00.000Z,117,-15,,
1993-03-11T01:40:00.000Z,107,-15,,
1993-03-11T01:45:00.000Z,104,-16,,
1993-03-11T01:50:00.000Z,108,-16,,
1993-03-11T01:55:00.000Z,113,-16,,
1993-03-11T02:00:00.000Z,114,-16,,
1993-03-11T02:05:00.000Z,103,-15,,
1993-03-11T02:10:00.000Z,102,-15,,
1993-03-11T02:15:00.000Z,108,-15,,
1993-03-11T02:20:00.000Z,126,-14,,
1993-03-11T02:25:00.000Z,88,-12,,
1993-03-11T02:30:00.000Z,83,-12,,
1993-03-11T02:35:00.000Z,72,-13,,
1993-03-11T02:40:00.000Z,75,-13,,
1993-03-11T02:45:00.000Z,72,-14,,
1993-03-11T02:50:00.000Z,64,-13,,
1993-03-11T02:55:00.000Z,64,-12,,
1993-03-11T03:00:00.000Z,69,-12,,
1993-03-11T03:05:00.000Z,51,-12,,
1993-03-11T03:10:00.000Z,43,-12,,
1993-03-11T03:15:00.000Z,50,-12,,
1993-03-11T03:20:00.000Z,57,-12,,
1993-03-11T03:25:00.000Z,64,-12,,
1993-03-11T03:30:00.000Z,73,-13,,
1993-03-11T03:35:00.000Z,64,-13,,
1993-03-11T03:40:00.000Z,51,-13,,
1993-03-11T03:45:00.000Z,58,-14,,
1993-03-11T03:50:00.000Z,45,-14,,
1993-03-11T03:55:00.000Z,53,-15,,
1993-03-11T04:00:00.000Z,50,-15,,
1993-03-11T04:05:00.000Z,45,-15,,
1993-03-11T04:10:00.000Z,48,-16,,
1993-03-11T04:15:00.000Z,42,-16,,
1993-03-11T04:20:00.000Z,48,-15,,
1993-03-11T04:25:00.000Z,50,-14,,
1993-03-11T04:30:00.000Z,61,-11,,
1993-03-11T04:35:00.000Z,77,-12,,
1993-03-11T04:40:00.000Z,71,-14,,
1993-03-11T04:45:00.000Z,63,-15,,
1993-03-11T04:50:00.000Z,52,-15,,
1993-03-11T04:55:00.000Z,57,-16,,
1993-03-11T05:00:00.000Z,61,-16,,
1993-03-11T05:05:00.000Z,50,-15,,
1993-03-11T05:10:00.000Z,47,-15,,
1993-03-11T05:15:00.000Z,45,-16,,
1993-03-11T05:20:00.000Z,56,-17,,
1993-03-11T05:25:00.000Z,59,-18,,
1993-03-11T05:30:00.000Z,48,-18,,
1993-03-11T05:35:00.000Z,75,-18,,
1993-03-11T05:40:00.000Z,102,-18,,
1993-03-11T05:45:00.000Z,122,-16,,
1993-03-11T05:50:00.000Z,166,-17,,
1993-03-11T05:55:00.000Z,187,-17,,
1993-03-11T06:00:00.000Z,198,-18,,
1993-03-11T06:05:00.000Z,221,-19,,
1993-03-11T06:10:00.000Z,207,-20,,
1993-03-11T06:15:00.000Z,325,-19,,
1993-03-11T06:20:00.000Z,416,-19,,
1993-03-11T06:25:00.000Z,407,-19,,
1993-03-11T06:30:00.000Z,355,-19,,
