#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_19930301_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT
1993-03-24T00:00:00.000Z,329,-1
1993-03-24T00:05:00.000Z,281,-1
1993-03-24T00:10:00.000Z,248,-1
1993-03-24T00:15:00.000Z,229,-3
1993-03-24T00:20:00.000Z,187,-4
1993-03-24T00:25:00.000Z,177,-4
1993-03-24T00:30:00.000Z,194,-4
1993-03-24T00:35:00.000Z,219,-1
1993-03-24T00:40:00.000Z,322,2
1993-03-24T00:45:00.000Z,413,2
1993-03-24T00:50:00.000Z,477,2
1993-03-24T00:55:00.000Z,437,1
1993-03-24T01:00:00.000Z,349,-2
1993-03-24T01:05:00.000Z,276,-4
1993-03-24T01:10:00.000Z,238,-6
1993-03-24T01:15:00.000Z,222,-9
1993-03-24T01:20:00.000Z,238,-10
1993-03-24T01:25:00.000Z,310,-11
1993-03-24T01:30:00.000Z,426,-12
1993-03-24T01:35:00.000Z,455,-13
1993-03-24T01:40:00.000Z,478,-13
1993-03-24T01:45:00.000Z,535,-14
1993-03-24T01:50:00.000Z,522,-17
1993-03-24T01:55:00.000Z,495,-18
1993-03-24T02:00:00.000Z,574,-19
1993-03-24T02:05:00.000Z,595,-19
1993-03-24T02:10:00.000Z,533,-20
1993-03-24T02:15:00.000Z,551,-21
1993-03-24T02:20:00.000Z,622,-22
1993-03-24T02:25:00.000Z,677,-23
1993-03-24T02:30:00.000Z,696,-22
1993-03-24T02:35:00.000Z,786,-23
1993-03-24T02:40:00.000Z,891,-25
1993-03-24T02:45:00.000Z,964,-25
1993-03-24T02:50:00.000Z,970,-24
1993-03-24T02:55:00.000Z,881,-24
1993-03-24T03:00:00.000Z,833,-24
1993-03-24T03:05:00.000Z,718,-23
1993-03-24T03:10:00.000Z,684,-25
1993-03-24T03:15:00.000Z,636,-25
1993-03-24T03:20:00.000Z,645,-24
1993-03-24T03:25:00.000Z,669,-24
1993-03-24T03:30:00.000Z,729,-24
1993-03-24T03:35:00.000Z,696,-25
1993-03-24T03:40:00.000Z,592,-25
1993-03-24T03:45:00.000Z,548,-25
1993-03-24T03:50:00.000Z,507,-26
1993-03-24T03:55:00.000Z,592,-26
1993-03-24T04:00:00.000Z,605,-25
1993-03-24T04:05:00.000Z,588,-25
1993-03-24T04:10:00.000Z,563,-24
1993-03-24T04:15:00.000Z,583,-24
1993-03-24T04:20:00.000Z,610,-25
1993-03-24T04:25:00.000Z,568,-26
1993-03-24T04:30:00.000Z,558,-27
1993-03-24T04:35:00.000Z,567,-28
1993-03-24T04:40:00.000Z,582,-25
1993-03-24T04:45:00.000Z,602,-24
1993-03-24T04:50:00.000Z,600,-25
1993-03-24T04:55:00.000Z,604,-25
1993-03-24T05:00:00.000Z,876,-23
1993-03-24T05:05:00.000Z,908,-21
1993-03-24T05:10:00.000Z,1107,-21
1993-03-24T05:15:00.000Z,996,-24
1993-03-24T05:20:00.000Z,895,-27
1993-03-24T05:25:00.000Z,978,-28
1993-03-24T05:30:00.000Z,1194,-30
1993-03-24T05:35:00.000Z,1414,-30
1993-03-24T05:40:00.000Z,1298,-33
1993-03-24T05:45:00.000Z,1282,-38
1993-03-24T05:50:00.000Z,1377,-41
1993-03-24T05:55:00.000Z,1179,-46
1993-03-24T06:00:00.000Z,1209,-46
1993-03-24T06:05:00.000Z,1349,-45
1993-03-24T06:10:00.000Z,1025,-51
1993-03-24T06:15:00.000Z,958,-59
1993-03-24T06:20:00.000Z,1046,-61
1993-03-24T06:25:00.000Z,1225,-66
1993-03-24T06:30:00.000Z,1146,-68
1993-03-24T06:35:00.000Z,1117,-70
1993-03-24T06:40:00.000Z,1322,-76
1993-03-24T06:45:00.000Z,1433,-80
1993-03-24T06:50:00.000Z,1368,-85
1993-03-24T06:55:00.000Z,1390,-86
1993-03-24T07:00:00.000Z,1354,-84
1993-03-24T07:05:00.000Z,1410,-85
1993-03-24T07:10:00.000Z,1160,-85
1993-03-24T07:15:00.000Z,1120,-89
1993-03-24T07:20:00.000Z,1092,-91
1993-03-24T07:25:00.000Z,1366,-87
1993-03-24T07:30:00.000Z,1143,-84
1993-03-24T07:35:00.000Z,1031,-81
1993-03-24T07:40:00.000Z,845,-81
1993-03-24T07:45:00.000Z,837,-84
1993-03-24T07:50:00.000Z,855,-84
1993-03-24T07:55:00.000Z,911,-83
1993-03-24T08:00:00.000Z,900,-81
1993-03-24T08:05:00.000Z,705,-80
1993-03-24T08:10:00.000Z,682,-83
1993-03-24T08:15:00.000Z,672,-82
1993-03-24T08:20:00.000Z,824,-82
1993-03-24T08:25:00.000Z,1041,-79
1993-03-24T08:30:00.000Z,1460,-75
1993-03-24T08:35:00.000Z,1624,-66
1993-03-24T08:40:00.000Z,1079,-57
1993-03-24T08:45:00.000Z,1180,-61
1993-03-24T08:50:00.000Z,950,-64
1993-03-24T08:55:00.000Z,846,-60
1993-03-24T09:00:00.000Z,967,-61
1993-03-24T09:05:00.000Z,948,-70
1993-03-24T09:10:00.000Z,730,-68
1993-03-24T09:15:00.000Z,639,-58
1993-03-24T09:20:00.000Z,512,-61
1993-03-24T09:25:00.000Z,418,-56
1993-03-24T09:30:00.000Z,422,-53
1993-03-24T09:35:00.000Z,447,-52
1993-03-24T09:40:00.000Z,496,-51
1993-03-24T09:45:00.000Z,431,-57
1993-03-24T09:50:00.000Z,375,-52
1993-03-24T09:55:00.000Z,249,-48
1993-03-24T10:00:00.000Z,278,-48
1993-03-24T10:05:00.000Z,265,-44
1993-03-24T10:10:00.000Z,193,-45
1993-03-24T10:15:00.000Z,190,-44
1993-03-24T10:20:00.000Z,195,-45
1993-03-24T10:25:00.000Z,209,-41
1993-03-24T10:30:00.000Z,167,-39
1993-03-24T10:35:00.000Z,158,-43
1993-03-24T10:40:00.000Z,142,-44
1993-03-24T10:45:00.000Z,116,-43
1993-03-24T10:50:00.000Z,72,-42
1993-03-24T10:55:00.000Z,103,-38
1993-03-24T11:00:00.000Z,100,-36
1993-03-24T11:05:00.000Z,121,-40
1993-03-24T11:10:00.000Z,98,-40
1993-03-24T11:15:00.000Z,105,-37
1993-03-24T11:20:00.000Z,185,-36
1993-03-24T11:25:00.000Z,292,-36
1993-03-24T11:30:00.000Z,288,-33
1993-03-24T11:35:00.000Z,297,-34
1993-03-24T11:40:00.000Z,213,-37
1993-03-24T11:45:00.000Z,158,-39
1993-03-24T11:50:00.000Z,163,-41
1993-03-24T11:55:00.000Z,275,-39
1993-03-24T12:00:00.000Z,248,-39
1993-03-24T12:05:00.000Z,245,-41
1993-03-24T12:10:00.000Z,264,-41
1993-03-24T12:15:00.000Z,204,-40
1993-03-24T12:20:00.000Z,146,-40
1993-03-24T12:25:00.000Z,196,-37
1993-03-24T12:30:00.000Z,125,-36
1993-03-24T12:35:00.000Z,171,-36
1993-03-24T12:40:00.000Z,186,-36
1993-03-24T12:45:00.000Z,192,-37
1993-03-24T12:50:00.000Z,232,-38
1993-03-24T12:55:00.000Z,187,-34
1993-03-24T13:00:00.000Z,250,-35
1993-03-24T13:05:00.000Z,310,-36
1993-03-24T13:10:00.000Z,334,-35
1993-03-24T13:15:00.000Z,350,-37
1993-03-24T13:20:00.000Z,331,-39
1993-03-24T13:25:00.000Z,396,-41
1993-03-24T13:30:00.000Z,617,-42
1993-03-24T13:35:00.000Z,843,-45
1993-03-24T13:40:00.000Z,886,-51
1993-03-24T13:45:00.000Z,686,-57
1993-03-24T13:50:00.000Z,697,-57
1993-03-24T13:55:00.000Z,665,-56
1993-03-24T14:00:00.000Z,576,-55
1993-03-24T14:05:00.000Z,576,-52
1993-03-24T14:10:00.000Z,528,-51
1993-03-24T14:15:00.000Z,531,-49
1993-03-24T14:20:00.000Z,581,-47
