#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19930501_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1993-05-07T00:00:00.000Z,273,-18,,
1993-05-07T00:05:00.000Z,255,-18,,
1993-05-07T00:10:00.000Z,240,-18,,
1993-05-07T00:15:00.000Z,218,-19,,
1993-05-07T00:20:00.000Z,198,-18,,
1993-05-07T00:25:00.000Z,187,-18,,
1993-05-07T00:30:00.000Z,174,-18,,
1993-05-07T00:35:00.000Z,137,-16,,
1993-05-07T00:40:00.000Z,113,-16,,
1993-05-07T00:45:00.000Z,122,-15,,
1993-05-07T00:50:00.000Z,130,-14,,
1993-05-07T00:55:00.000Z,117,-14,,
1993-05-07T01:00:00.000Z,112,-14,,
1993-05-07T01:05:00.000Z,95,-13,,
1993-05-07T01:10:00.000Z,78,-12,,
1993-05-07T01:15:00.000Z,76,-11,,
1993-05-07T01:20:00.000Z,92,-11,,
1993-05-07T01:25:00.000Z,109,-10,,
1993-05-07T01:30:00.000Z,101,-10,,
1993-05-07T01:35:00.000Z,95,-10,,
1993-05-07T01:40:00.000Z,89,-10,,
1993-05-07T01:45:00.000Z,93,-10,,
1993-05-07T01:50:00.000Z,99,-10,,
1993-05-07T01:55:00.000Z,106,-10,,
1993-05-07T02:00:00.000Z,116,-8,,
1993-05-07T02:05:00.000Z,112,-9,,
1993-05-07T02:10:00.000Z,124,-9,,
1993-05-07T02:15:00.000Z,128,-9,,
1993-05-07T02:20:00.000Z,130,-8,,
1993-05-07T02:25:00.000Z,139,-8,,
1993-05-07T02:30:00.000Z,130,-8,,
1993-05-07T02:35:00.000Z,126,-8,,
1993-05-07T02:40:00.000Z,137,-8,,
1993-05-07T02:45:00.000Z,153,-8,,
1993-05-07T02:50:00.000Z,178,-8,,
1993-05-07T02:55:00.000Z,192,-8,,
1993-05-07T03:00:00.000Z,231,-7,,
1993-05-07T03:05:00.000Z,263,-7,,
1993-05-07T03:10:00.000Z,283,-7,,
1993-05-07T03:15:00.000Z,296,-8,,
1993-05-07T03:20:00.000Z,313,-9,,
1993-05-07T03:25:00.000Z,308,-9,,
1993-05-07T03:30:00.000Z,293,-10,,
1993-05-07T03:35:00.000Z,284,-10,,
1993-05-07T03:40:00.000Z,277,-10,,
1993-05-07T03:45:00.000Z,269,-10,,
1993-05-07T03:50:00.000Z,245,-11,,
1993-05-07T03:55:00.000Z,250,-11,,
1993-05-07T04:00:00.000Z,285,-10,,
1993-05-07T04:05:00.000Z,320,-9,,
1993-05-07T04:10:00.000Z,359,-9,,
1993-05-07T04:15:00.000Z,421,-9,,
1993-05-07T04:20:00.000Z,375,-12,,
1993-05-07T04:25:00.000Z,329,-14,,
1993-05-07T04:30:00.000Z,278,-15,,
1993-05-07T04:35:00.000Z,352,-16,,
1993-05-07T04:40:00.000Z,258,-17,,
1993-05-07T04:45:00.000Z,215,-17,,
1993-05-07T04:50:00.000Z,288,-18,,
1993-05-07T04:55:00.000Z,329,-17,,
1993-05-07T05:00:00.000Z,397,-17,,
1993-05-07T05:05:00.000Z,434,-18,,
1993-05-07T05:10:00.000Z,439,-19,,
1993-05-07T05:15:00.000Z,401,-20,,
1993-05-07T05:20:00.000Z,360,-22,,
1993-05-07T05:25:00.000Z,288,-22,,
1993-05-07T05:30:00.000Z,245,-22,,
1993-05-07T05:35:00.000Z,230,-21,,
1993-05-07T05:40:00.000Z,222,-21,,
1993-05-07T05:45:00.000Z,216,-20,,
1993-05-07T05:50:00.000Z,236,-20,,
1993-05-07T05:55:00.000Z,231,-20,,
1993-05-07T06:00:00.000Z,184,-19,,
1993-05-07T06:05:00.000Z,142,-17,,
1993-05-07T06:10:00.000Z,146,-16,,
1993-05-07T06:15:00.000Z,146,-17,,
1993-05-07T06:20:00.000Z,111,-14,,
1993-05-07T06:25:00.000Z,103,-14,,
1993-05-07T06:30:00.000Z,111,-13,,
