#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19931101_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1993-11-03T00:00:00.000Z,19,-7,,
1993-11-03T00:05:00.000Z,17,-8,,
1993-11-03T00:10:00.000Z,22,-7,,
1993-11-03T00:15:00.000Z,20,-8,,
1993-11-03T00:20:00.000Z,24,-8,,
1993-11-03T00:25:00.000Z,19,-8,,
1993-11-03T00:30:00.000Z,32,-7,,
1993-11-03T00:35:00.000Z,21,-7,,
1993-11-03T00:40:00.000Z,23,-7,,
1993-11-03T00:45:00.000Z,24,-6,,
1993-11-03T00:50:00.000Z,30,-6,,
1993-11-03T00:55:00.000Z,29,-6,,
1993-11-03T01:00:00.000Z,25,-6,,
1993-11-03T01:05:00.000Z,23,-6,,
1993-11-03T01:10:00.000Z,30,-6,,
1993-11-03T01:15:00.000Z,28,-6,,
1993-11-03T01:20:00.000Z,29,-6,,
1993-11-03T01:25:00.000Z,27,-5,,
1993-11-03T01:30:00.000Z,33,-5,,
1993-11-03T01:35:00.000Z,32,-4,,
1993-11-03T01:40:00.000Z,35,-4,,
1993-11-03T01:45:00.000Z,37,-4,,
1993-11-03T01:50:00.000Z,37,-4,,
1993-11-03T01:55:00.000Z,33,-4,,
1993-11-03T02:00:00.000Z,35,-4,,
1993-11-03T02:05:00.000Z,31,-4,,
1993-11-03T02:10:00.000Z,38,-4,,
1993-11-03T02:15:00.000Z,33,-4,,
1993-11-03T02:20:00.000Z,28,-4,,
1993-11-03T02:25:00.000Z,33,-4,,
1993-11-03T02:30:00.000Z,34,-4,,
1993-11-03T02:35:00.000Z,33,-3,,
1993-11-03T02:40:00.000Z,37,-4,,
1993-11-03T02:45:00.000Z,40,-4,,
1993-11-03T02:50:00.000Z,36,-4,,
1993-11-03T02:55:00.000Z,41,-4,,
1993-11-03T03:00:00.000Z,23,-3,,
1993-11-03T03:05:00.000Z,25,-3,,
1993-11-03T03:10:00.000Z,23,-3,,
1993-11-03T03:15:00.000Z,29,-3,,
1993-11-03T03:20:00.000Z,31,-2,,
1993-11-03T03:25:00.000Z,31,-2,,
1993-11-03T03:30:00.000Z,31,-1,,
1993-11-03T03:35:00.000Z,37,-1,,
1993-11-03T03:40:00.000Z,21,-1,,
1993-11-03T03:45:00.000Z,19,0,,
1993-11-03T03:50:00.000Z,24,0,,
1993-11-03T03:55:00.000Z,26,-1,,
1993-11-03T04:00:00.000Z,23,-1,,
1993-11-03T04:05:00.000Z,23,0,,
1993-11-03T04:10:00.000Z,21,0,,
1993-11-03T04:15:00.000Z,23,0,,
1993-11-03T04:20:00.000Z,22,0,,
1993-11-03T04:25:00.000Z,19,0,,
1993-11-03T04:30:00.000Z,20,0,,
1993-11-03T04:35:00.000Z,27,0,,
1993-11-03T04:40:00.000Z,29,0,,
1993-11-03T04:45:00.000Z,30,1,,
1993-11-03T04:50:00.000Z,34,0,,
1993-11-03T04:55:00.000Z,35,0,,
1993-11-03T05:00:00.000Z,37,-1,,
1993-11-03T05:05:00.000Z,36,-1,,
1993-11-03T05:10:00.000Z,39,-1,,
1993-11-03T05:15:00.000Z,39,-2,,
1993-11-03T05:20:00.000Z,36,-2,,
1993-11-03T05:25:00.000Z,32,-2,,
1993-11-03T05:30:00.000Z,32,-2,,
1993-11-03T05:35:00.000Z,31,-2,,
1993-11-03T05:40:00.000Z,33,-3,,
1993-11-03T05:45:00.000Z,31,-3,,
1993-11-03T05:50:00.000Z,34,-3,,
1993-11-03T05:55:00.000Z,29,-3,,
1993-11-03T06:00:00.000Z,37,-4,,
1993-11-03T06:05:00.000Z,35,-4,,
1993-11-03T06:10:00.000Z,41,-4,,
1993-11-03T06:15:00.000Z,36,-4,,
1993-11-03T06:20:00.000Z,52,-4,,
1993-11-03T06:25:00.000Z,38,-3,,
1993-11-03T06:30:00.000Z,34,-3,,
1993-11-03T06:35:00.000Z,36,-3,,
1993-11-03T06:40:00.000Z,43,-2,,
1993-11-03T06:45:00.000Z,43,-1,,
1993-11-03T06:50:00.000Z,41,-1,,
1993-11-03T06:55:00.000Z,41,-1,,
1993-11-03T07:00:00.000Z,47,0,,
1993-11-03T07:05:00.000Z,51,1,,
1993-11-03T07:10:00.000Z,60,1,,
1993-11-03T07:15:00.000Z,61,2,,
1993-11-03T07:20:00.000Z,63,3,,
1993-11-03T07:25:00.000Z,79,3,,
1993-11-03T07:30:00.000Z,92,4,,
1993-11-03T07:35:00.000Z,86,5,,
1993-11-03T07:40:00.000Z,81,4,,
1993-11-03T07:45:00.000Z,77,5,,
1993-11-03T07:50:00.000Z,78,4,,
1993-11-03T07:55:00.000Z,66,3,,
1993-11-03T08:00:00.000Z,66,3,,
1993-11-03T08:05:00.000Z,60,4,,
1993-11-03T08:10:00.000Z,63,5,,
1993-11-03T08:15:00.000Z,63,6,,
1993-11-03T08:20:00.000Z,47,6,,
1993-11-03T08:25:00.000Z,40,6,,
1993-11-03T08:30:00.000Z,49,7,,
1993-11-03T08:35:00.000Z,44,6,,
1993-11-03T08:40:00.000Z,39,7,,
1993-11-03T08:45:00.000Z,40,7,,
1993-11-03T08:50:00.000Z,30,8,,
1993-11-03T08:55:00.000Z,35,8,,
1993-11-03T09:00:00.000Z,29,8,,
1993-11-03T09:05:00.000Z,38,9,,
1993-11-03T09:10:00.000Z,46,9,,
1993-11-03T09:15:00.000Z,39,9,,
1993-11-03T09:20:00.000Z,45,10,,
1993-11-03T09:25:00.000Z,43,10,,
1993-11-03T09:30:00.000Z,36,10,,
1993-11-03T09:35:00.000Z,42,10,,
1993-11-03T09:40:00.000Z,49,12,,
1993-11-03T09:45:00.000Z,48,13,,
1993-11-03T09:50:00.000Z,36,14,,
1993-11-03T09:55:00.000Z,38,13,,
1993-11-03T10:00:00.000Z,40,14,,
1993-11-03T10:05:00.000Z,42,15,,
1993-11-03T10:10:00.000Z,34,15,,
1993-11-03T10:15:00.000Z,42,14,,
1993-11-03T10:20:00.000Z,48,14,,
1993-11-03T10:25:00.000Z,40,15,,
1993-11-03T10:30:00.000Z,40,17,,
1993-11-03T10:35:00.000Z,36,17,,
1993-11-03T10:40:00.000Z,36,18,,
1993-11-03T10:45:00.000Z,33,19,,
1993-11-03T10:50:00.000Z,35,19,,
1993-11-03T10:55:00.000Z,36,19,,
1993-11-03T11:00:00.000Z,37,19,,
1993-11-03T11:05:00.000Z,37,18,,
1993-11-03T11:10:00.000Z,39,18,,
1993-11-03T11:15:00.000Z,40,17,,
1993-11-03T11:20:00.000Z,36,16,,
1993-11-03T11:25:00.000Z,44,15,,
1993-11-03T11:30:00.000Z,44,16,,
1993-11-03T11:35:00.000Z,43,17,,
1993-11-03T11:40:00.000Z,45,18,,
1993-11-03T11:45:00.000Z,44,17,,
1993-11-03T11:50:00.000Z,44,18,,
1993-11-03T11:55:00.000Z,38,20,,
1993-11-03T12:00:00.000Z,41,19,,
1993-11-03T12:05:00.000Z,47,19,,
1993-11-03T12:10:00.000Z,46,21,,
1993-11-03T12:15:00.000Z,47,22,,
1993-11-03T12:20:00.000Z,51,23,,
1993-11-03T12:25:00.000Z,47,22,,
1993-11-03T12:30:00.000Z,52,22,,
1993-11-03T12:35:00.000Z,52,24,,
1993-11-03T12:40:00.000Z,47,26,,
1993-11-03T12:45:00.000Z,42,27,,
1993-11-03T12:50:00.000Z,44,28,,
1993-11-03T12:55:00.000Z,44,28,,
1993-11-03T13:00:00.000Z,39,29,,
1993-11-03T13:05:00.000Z,48,28,,
1993-11-03T13:10:00.000Z,42,28,,
1993-11-03T13:15:00.000Z,44,28,,
1993-11-03T13:20:00.000Z,53,27,,
1993-11-03T13:25:00.000Z,45,27,,
1993-11-03T13:30:00.000Z,43,27,,
1993-11-03T13:35:00.000Z,45,26,,
1993-11-03T13:40:00.000Z,42,25,,
1993-11-03T13:45:00.000Z,45,25,,
1993-11-03T13:50:00.000Z,46,26,,
1993-11-03T13:55:00.000Z,47,25,,
