#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data
#     DATA_TYPE                       HRO>Definitive 5minute
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    
#     MODS                            created November 2006;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01
#     PI_NAME                         J.H. King, N. Papatashvilli
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 5 minute
#     LOGICAL_SOURCE                  omni_hro_5min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01
#                                     omni_hro_5min_19931201_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT
1993-12-07T00:00:00.000Z,240,-19
1993-12-07T00:05:00.000Z,217,-19
1993-12-07T00:10:00.000Z,235,-18
1993-12-07T00:15:00.000Z,241,-18
1993-12-07T00:20:00.000Z,292,-19
1993-12-07T00:25:00.000Z,318,-19
1993-12-07T00:30:00.000Z,293,-19
1993-12-07T00:35:00.000Z,254,-18
1993-12-07T00:40:00.000Z,209,-18
1993-12-07T00:45:00.000Z,173,-18
1993-12-07T00:50:00.000Z,197,-18
1993-12-07T00:55:00.000Z,230,-19
1993-12-07T01:00:00.000Z,252,-19
1993-12-07T01:05:00.000Z,280,-20
1993-12-07T01:10:00.000Z,270,-21
1993-12-07T01:15:00.000Z,272,-22
1993-12-07T01:20:00.000Z,249,-21
1993-12-07T01:25:00.000Z,202,-21
1993-12-07T01:30:00.000Z,171,-21
1993-12-07T01:35:00.000Z,144,-21
1993-12-07T01:40:00.000Z,106,-20
1993-12-07T01:45:00.000Z,81,-19
1993-12-07T01:50:00.000Z,67,-18
1993-12-07T01:55:00.000Z,64,-17
1993-12-07T02:00:00.000Z,68,-17
1993-12-07T02:05:00.000Z,63,-16
1993-12-07T02:10:00.000Z,59,-15
1993-12-07T02:15:00.000Z,73,-15
1993-12-07T02:20:00.000Z,66,-15
1993-12-07T02:25:00.000Z,61,-15
1993-12-07T02:30:00.000Z,66,-16
1993-12-07T02:35:00.000Z,69,-16
1993-12-07T02:40:00.000Z,60,-16
1993-12-07T02:45:00.000Z,75,-16
1993-12-07T02:50:00.000Z,53,-16
1993-12-07T02:55:00.000Z,49,-15
1993-12-07T03:00:00.000Z,70,-14
1993-12-07T03:05:00.000Z,74,-14
1993-12-07T03:10:00.000Z,79,-14
1993-12-07T03:15:00.000Z,84,-14
1993-12-07T03:20:00.000Z,94,-15
1993-12-07T03:25:00.000Z,94,-15
1993-12-07T03:30:00.000Z,94,-16
1993-12-07T03:35:00.000Z,109,-15
1993-12-07T03:40:00.000Z,111,-15
1993-12-07T03:45:00.000Z,100,-14
1993-12-07T03:50:00.000Z,102,-14
1993-12-07T03:55:00.000Z,108,-14
1993-12-07T04:00:00.000Z,112,-13
1993-12-07T04:05:00.000Z,93,-13
1993-12-07T04:10:00.000Z,91,-13
1993-12-07T04:15:00.000Z,95,-13
1993-12-07T04:20:00.000Z,83,-13
1993-12-07T04:25:00.000Z,61,-13
1993-12-07T04:30:00.000Z,66,-12
1993-12-07T04:35:00.000Z,48,-12
1993-12-07T04:40:00.000Z,43,-12
1993-12-07T04:45:00.000Z,35,-11
1993-12-07T04:50:00.000Z,44,-11
1993-12-07T04:55:00.000Z,50,-11
1993-12-07T05:00:00.000Z,59,-10
1993-12-07T05:05:00.000Z,69,-10
1993-12-07T05:10:00.000Z,64,-10
1993-12-07T05:15:00.000Z,75,-9
1993-12-07T05:20:00.000Z,125,-9
1993-12-07T05:25:00.000Z,131,-9
1993-12-07T05:30:00.000Z,118,-10
1993-12-07T05:35:00.000Z,94,-10
1993-12-07T05:40:00.000Z,87,-9
1993-12-07T05:45:00.000Z,67,-10
1993-12-07T05:50:00.000Z,50,-9
1993-12-07T05:55:00.000Z,38,-10
1993-12-07T06:00:00.000Z,38,-11
1993-12-07T06:05:00.000Z,43,-11
1993-12-07T06:10:00.000Z,62,-10
