#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19941101_v01, omni_hro_5min_19941201_v01,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1994-11-26T00:00:00.000Z,19,12,,
1994-11-26T00:05:00.000Z,17,13,,
1994-11-26T00:10:00.000Z,17,13,,
1994-11-26T00:15:00.000Z,17,12,,
1994-11-26T00:20:00.000Z,19,12,,
1994-11-26T00:25:00.000Z,19,13,,
1994-11-26T00:30:00.000Z,22,13,,
1994-11-26T00:35:00.000Z,19,13,,
1994-11-26T00:40:00.000Z,20,14,,
1994-11-26T00:45:00.000Z,20,15,,
1994-11-26T00:50:00.000Z,23,15,,
1994-11-26T00:55:00.000Z,24,16,,
1994-11-26T01:00:00.000Z,25,16,,
1994-11-26T01:05:00.000Z,25,16,,
1994-11-26T01:10:00.000Z,25,16,,
1994-11-26T01:15:00.000Z,26,17,,
1994-11-26T01:20:00.000Z,28,17,,
1994-11-26T01:25:00.000Z,30,16,,
1994-11-26T01:30:00.000Z,29,16,,
1994-11-26T01:35:00.000Z,26,16,,
1994-11-26T01:40:00.000Z,30,16,,
1994-11-26T01:45:00.000Z,27,16,,
1994-11-26T01:50:00.000Z,25,16,,
1994-11-26T01:55:00.000Z,24,16,,
1994-11-26T02:00:00.000Z,28,16,,
1994-11-26T02:05:00.000Z,23,17,,
1994-11-26T02:10:00.000Z,32,17,,
1994-11-26T02:15:00.000Z,33,17,,
1994-11-26T02:20:00.000Z,29,17,,
1994-11-26T02:25:00.000Z,29,17,,
1994-11-26T02:30:00.000Z,29,17,,
1994-11-26T02:35:00.000Z,30,16,,
1994-11-26T02:40:00.000Z,29,16,,
1994-11-26T02:45:00.000Z,29,16,,
1994-11-26T02:50:00.000Z,33,16,,
1994-11-26T02:55:00.000Z,36,16,,
1994-11-26T03:00:00.000Z,35,16,,
1994-11-26T03:05:00.000Z,41,16,,
1994-11-26T03:10:00.000Z,60,16,,
1994-11-26T03:15:00.000Z,47,16,,
1994-11-26T03:20:00.000Z,40,16,,
1994-11-26T03:25:00.000Z,46,16,,
1994-11-26T03:30:00.000Z,59,14,,
1994-11-26T03:35:00.000Z,67,13,,
1994-11-26T03:40:00.000Z,82,12,,
1994-11-26T03:45:00.000Z,102,11,,
1994-11-26T03:50:00.000Z,124,11,,
1994-11-26T03:55:00.000Z,129,10,,
1994-11-26T04:00:00.000Z,134,10,,
1994-11-26T04:05:00.000Z,131,9,,
1994-11-26T04:10:00.000Z,144,9,,
1994-11-26T04:15:00.000Z,147,9,,
1994-11-26T04:20:00.000Z,171,8,,
1994-11-26T04:25:00.000Z,184,8,,
1994-11-26T04:30:00.000Z,196,8,,
1994-11-26T04:35:00.000Z,205,7,,
1994-11-26T04:40:00.000Z,214,7,,
1994-11-26T04:45:00.000Z,237,8,,
1994-11-26T04:50:00.000Z,238,8,,
1994-11-26T04:55:00.000Z,224,9,,
1994-11-26T05:00:00.000Z,217,9,,
1994-11-26T05:05:00.000Z,215,9,,
1994-11-26T05:10:00.000Z,234,9,,
1994-11-26T05:15:00.000Z,217,7,,
1994-11-26T05:20:00.000Z,203,7,,
1994-11-26T05:25:00.000Z,228,7,,
1994-11-26T05:30:00.000Z,175,7,,
1994-11-26T05:35:00.000Z,147,8,,
1994-11-26T05:40:00.000Z,122,10,,
1994-11-26T05:45:00.000Z,161,12,,
1994-11-26T05:50:00.000Z,184,13,,
1994-11-26T05:55:00.000Z,174,15,,
1994-11-26T06:00:00.000Z,194,21,,
1994-11-26T06:05:00.000Z,252,25,,
1994-11-26T06:10:00.000Z,260,26,,
1994-11-26T06:15:00.000Z,273,25,,
1994-11-26T06:20:00.000Z,269,20,,
1994-11-26T06:25:00.000Z,253,21,,
1994-11-26T06:30:00.000Z,308,22,,
1994-11-26T06:35:00.000Z,360,22,,
1994-11-26T06:40:00.000Z,363,18,,
1994-11-26T06:45:00.000Z,326,15,,
1994-11-26T06:50:00.000Z,368,13,,
