#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19931001_v01,,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1993-10-08T00:00:00.000Z,20,8,,
1993-10-08T00:05:00.000Z,17,8,,
1993-10-08T00:10:00.000Z,15,9,,
1993-10-08T00:15:00.000Z,14,8,,
1993-10-08T00:20:00.000Z,17,8,,
1993-10-08T00:25:00.000Z,18,9,,
1993-10-08T00:30:00.000Z,17,9,,
1993-10-08T00:35:00.000Z,15,9,,
1993-10-08T00:40:00.000Z,17,9,,
1993-10-08T00:45:00.000Z,15,9,,
1993-10-08T00:50:00.000Z,19,8,,
1993-10-08T00:55:00.000Z,18,9,,
1993-10-08T01:00:00.000Z,19,10,,
1993-10-08T01:05:00.000Z,24,11,,
1993-10-08T01:10:00.000Z,26,11,,
1993-10-08T01:15:00.000Z,33,10,,
1993-10-08T01:20:00.000Z,34,10,,
1993-10-08T01:25:00.000Z,42,11,,
1993-10-08T01:30:00.000Z,52,11,,
1993-10-08T01:35:00.000Z,50,9,,
1993-10-08T01:40:00.000Z,56,9,,
1993-10-08T01:45:00.000Z,64,8,,
1993-10-08T01:50:00.000Z,78,8,,
1993-10-08T01:55:00.000Z,86,8,,
1993-10-08T02:00:00.000Z,123,9,,
1993-10-08T02:05:00.000Z,118,9,,
1993-10-08T02:10:00.000Z,103,9,,
1993-10-08T02:15:00.000Z,117,10,,
1993-10-08T02:20:00.000Z,127,9,,
1993-10-08T02:25:00.000Z,112,10,,
1993-10-08T02:30:00.000Z,88,10,,
1993-10-08T02:35:00.000Z,82,11,,
1993-10-08T02:40:00.000Z,87,10,,
1993-10-08T02:45:00.000Z,91,10,,
1993-10-08T02:50:00.000Z,84,11,,
1993-10-08T02:55:00.000Z,72,12,,
1993-10-08T03:00:00.000Z,75,12,,
1993-10-08T03:05:00.000Z,74,13,,
1993-10-08T03:10:00.000Z,73,12,,
1993-10-08T03:15:00.000Z,85,9,,
1993-10-08T03:20:00.000Z,67,9,,
1993-10-08T03:25:00.000Z,51,12,,
1993-10-08T03:30:00.000Z,46,13,,
1993-10-08T03:35:00.000Z,39,13,,
1993-10-08T03:40:00.000Z,30,14,,
1993-10-08T03:45:00.000Z,32,13,,
1993-10-08T03:50:00.000Z,38,12,,
1993-10-08T03:55:00.000Z,42,11,,
1993-10-08T04:00:00.000Z,37,12,,
1993-10-08T04:05:00.000Z,35,13,,
1993-10-08T04:10:00.000Z,30,13,,
1993-10-08T04:15:00.000Z,24,13,,
1993-10-08T04:20:00.000Z,22,13,,
1993-10-08T04:25:00.000Z,24,12,,
1993-10-08T04:30:00.000Z,29,12,,
1993-10-08T04:35:00.000Z,41,11,,
1993-10-08T04:40:00.000Z,48,11,,
1993-10-08T04:45:00.000Z,47,12,,
1993-10-08T04:50:00.000Z,39,11,,
1993-10-08T04:55:00.000Z,43,11,,
1993-10-08T05:00:00.000Z,63,9,,
1993-10-08T05:05:00.000Z,66,9,,
1993-10-08T05:10:00.000Z,64,7,,
1993-10-08T05:15:00.000Z,67,5,,
1993-10-08T05:20:00.000Z,67,1,,
1993-10-08T05:25:00.000Z,61,-1,,
1993-10-08T05:30:00.000Z,55,-2,,
1993-10-08T05:35:00.000Z,39,-3,,
1993-10-08T05:40:00.000Z,34,-1,,
1993-10-08T05:45:00.000Z,39,0,,
1993-10-08T05:50:00.000Z,66,1,,
1993-10-08T05:55:00.000Z,142,2,,
1993-10-08T06:00:00.000Z,171,3,,
1993-10-08T06:05:00.000Z,85,4,,
1993-10-08T06:10:00.000Z,115,3,,
1993-10-08T06:15:00.000Z,133,3,,
1993-10-08T06:20:00.000Z,155,4,,
1993-10-08T06:25:00.000Z,179,4,,
1993-10-08T06:30:00.000Z,218,5,,
1993-10-08T06:35:00.000Z,249,5,,
1993-10-08T06:40:00.000Z,260,4,,
1993-10-08T06:45:00.000Z,263,4,,
