#              ************************************,,,,
#              *****    GLOBAL ATTRIBUTES    ******,,,,
#              ************************************,,,,
#,,,,
#     PROJECT                         NSSDC,,,,
#     DISCIPLINE                      Space Physics>Interplanetary Studies,,,,
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 5 minute Interplantary OMNI data,,,,
#     DATA_TYPE                       HRO>Definitive 5minute,,,,
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux,
#     DATA_VERSION                    1,,,,
#     TITLE                           Near-Earth Heliosphere Data (OMNI),,,,
#     TEXT                            5minute averaged definitive multispacecraft interplanetary parameters data,,,,
#                                     Additional information for all parameters are available from OMNI Data Documentation:                  ,,,,
#                                      https://omniweb.gsfc.nasa.gov/html/HROdocum.html                                                      ,,,,
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow_m,,,,
#                                     Recent omni high resolution updates Release Notes: https://omniweb.gsfc.nasa.gov/html/hro_news.html    ,,,,
#     MODS                            created November 2006;,,,,
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000,,,,
#                                     Time tags in CDAWeb version were modified in March 2005 to use the,,,,
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's,,,,
#                                     original convention of start-of-average time tags.,,,,
#     LOGICAL_FILE_ID                 omni_hro_5min_00000000_v01,,,,
#     PI_NAME                         J.H. King, N. Papatashvilli,,,
#     PI_AFFILIATION                  AdnetSystems, NASA GSFC,,,
#     GENERATION_DATE                 Ongoing,,,,
#     ACKNOWLEDGEMENT                 NSSDC,,,,
#     ADID_REF                        NSSD0110,,,,
#     RULES_OF_USE                    Public,,,,
#     INSTRUMENT_TYPE                 Plasma and Solar Wind,,,,
#                                     Magnetic Fields (space),,,,
#                                     Electric Fields (space),,,,
#     GENERATED_BY                    King/Papatashvilli,,,,
#     TIME_RESOLUTION                 5 minute,,,,
#     LOGICAL_SOURCE                  omni_hro_5min,,,,
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 5-minute IMF and Plasma, and Energetic Proton Fluxes,                       
#                                      Time-Shifted to the Nose  of the Earth's Bow Shock, plus Magnetic Indices                             ,,,
#     LINK_TEXT                       Additional information for all parameters are available from,,,,
#                                     Additional data access options available at,,,,
#                                     Recent omni high resolution updates,,,,
#     LINK_TITLE                      OMNI Data documentation,,,,
#                                     SPDF's OMNIWeb Service,,,,
#                                     Release Notes,,,,
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html,,,,
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html,,,,
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_5min_cdf,,,,
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices),,,,
#                                     ACE,,,,
#                                     Wind,,,,
#                                     IMP (All),,,,
#                                     !___Interplanetary Data near 1 AU,,,,
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M,,,,
#     CDAWEB_PARENTS                  omni_hro_5min_00000000_v01,,,,
#                                     omni_hro_5min_19941001_v01, omni_hro_5min_19941101_v01,,,
#     CDFMAJOR                        COL_MAJOR,,,,
#,,,,
#              ************************************,,,,
#              ****  RECORD VARYING VARIABLES  ****,,,,
#              ************************************,,,,
#,,,,
#  1. Epoch Time,,,,
#  2. AE - 5-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059),,
#  3. SYM/H - 5-minute SYM/H index,from WDC Kyoto (1981/001-2020/213),,,
#,,,,
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,5-M_AE_nT,SYM/H_INDEX_nT,,
1994-10-29T00:00:00.000Z,111,-5,,
1994-10-29T00:05:00.000Z,98,-5,,
1994-10-29T00:10:00.000Z,118,-5,,
1994-10-29T00:15:00.000Z,105,-6,,
1994-10-29T00:20:00.000Z,101,-5,,
1994-10-29T00:25:00.000Z,109,7,,
1994-10-29T00:30:00.000Z,488,22,,
1994-10-29T00:35:00.000Z,409,21,,
1994-10-29T00:40:00.000Z,260,19,,
1994-10-29T00:45:00.000Z,279,18,,
1994-10-29T00:50:00.000Z,354,18,,
1994-10-29T00:55:00.000Z,406,18,,
1994-10-29T01:00:00.000Z,330,17,,
1994-10-29T01:05:00.000Z,316,16,,
1994-10-29T01:10:00.000Z,278,15,,
1994-10-29T01:15:00.000Z,308,13,,
1994-10-29T01:20:00.000Z,287,13,,
1994-10-29T01:25:00.000Z,244,13,,
1994-10-29T01:30:00.000Z,262,14,,
1994-10-29T01:35:00.000Z,354,15,,
1994-10-29T01:40:00.000Z,385,14,,
1994-10-29T01:45:00.000Z,365,11,,
1994-10-29T01:50:00.000Z,378,9,,
1994-10-29T01:55:00.000Z,400,8,,
1994-10-29T02:00:00.000Z,432,8,,
1994-10-29T02:05:00.000Z,433,7,,
1994-10-29T02:10:00.000Z,389,4,,
1994-10-29T02:15:00.000Z,335,0,,
1994-10-29T02:20:00.000Z,306,-1,,
1994-10-29T02:25:00.000Z,297,-1,,
1994-10-29T02:30:00.000Z,267,-3,,
1994-10-29T02:35:00.000Z,296,-3,,
1994-10-29T02:40:00.000Z,333,-4,,
1994-10-29T02:45:00.000Z,315,-6,,
1994-10-29T02:50:00.000Z,304,-8,,
1994-10-29T02:55:00.000Z,352,-11,,
1994-10-29T03:00:00.000Z,399,-13,,
1994-10-29T03:05:00.000Z,423,-15,,
1994-10-29T03:10:00.000Z,384,-17,,
1994-10-29T03:15:00.000Z,344,-13,,
1994-10-29T03:20:00.000Z,345,-13,,
1994-10-29T03:25:00.000Z,367,-13,,
1994-10-29T03:30:00.000Z,425,-12,,
1994-10-29T03:35:00.000Z,449,-12,,
1994-10-29T03:40:00.000Z,434,-11,,
1994-10-29T03:45:00.000Z,383,-11,,
1994-10-29T03:50:00.000Z,323,-7,,
1994-10-29T03:55:00.000Z,297,-2,,
1994-10-29T04:00:00.000Z,284,-3,,
1994-10-29T04:05:00.000Z,279,-6,,
1994-10-29T04:10:00.000Z,311,-5,,
1994-10-29T04:15:00.000Z,319,-4,,
1994-10-29T04:20:00.000Z,280,-4,,
1994-10-29T04:25:00.000Z,290,-5,,
1994-10-29T04:30:00.000Z,283,-4,,
1994-10-29T04:35:00.000Z,295,-4,,
1994-10-29T04:40:00.000Z,314,-6,,
1994-10-29T04:45:00.000Z,272,-5,,
1994-10-29T04:50:00.000Z,251,-4,,
1994-10-29T04:55:00.000Z,232,-5,,
1994-10-29T05:00:00.000Z,234,-6,,
1994-10-29T05:05:00.000Z,209,-6,,
1994-10-29T05:10:00.000Z,218,-5,,
1994-10-29T05:15:00.000Z,221,-4,,
1994-10-29T05:20:00.000Z,222,-4,,
1994-10-29T05:25:00.000Z,267,-4,,
1994-10-29T05:30:00.000Z,350,-5,,
1994-10-29T05:35:00.000Z,368,-6,,
1994-10-29T05:40:00.000Z,410,-7,,
1994-10-29T05:45:00.000Z,360,-7,,
1994-10-29T05:50:00.000Z,340,-8,,
1994-10-29T05:55:00.000Z,353,-10,,
1994-10-29T06:00:00.000Z,352,-11,,
1994-10-29T06:05:00.000Z,341,-11,,
1994-10-29T06:10:00.000Z,316,-11,,
1994-10-29T06:15:00.000Z,303,-10,,
1994-10-29T06:20:00.000Z,330,-9,,
1994-10-29T06:25:00.000Z,368,-8,,
1994-10-29T06:30:00.000Z,394,-4,,
1994-10-29T06:35:00.000Z,624,-1,,
1994-10-29T06:40:00.000Z,558,-5,,
1994-10-29T06:45:00.000Z,494,-6,,
1994-10-29T06:50:00.000Z,790,-8,,
1994-10-29T06:55:00.000Z,634,-9,,
1994-10-29T07:00:00.000Z,528,-11,,
1994-10-29T07:05:00.000Z,587,-11,,
1994-10-29T07:10:00.000Z,513,-8,,
1994-10-29T07:15:00.000Z,569,-7,,
1994-10-29T07:20:00.000Z,589,-10,,
1994-10-29T07:25:00.000Z,565,-13,,
1994-10-29T07:30:00.000Z,614,-11,,
1994-10-29T07:35:00.000Z,636,-12,,
1994-10-29T07:40:00.000Z,691,-14,,
1994-10-29T07:45:00.000Z,610,-17,,
1994-10-29T07:50:00.000Z,599,-20,,
1994-10-29T07:55:00.000Z,512,-23,,
1994-10-29T08:00:00.000Z,485,-23,,
1994-10-29T08:05:00.000Z,457,-21,,
1994-10-29T08:10:00.000Z,380,-20,,
1994-10-29T08:15:00.000Z,359,-19,,
1994-10-29T08:20:00.000Z,347,-16,,
1994-10-29T08:25:00.000Z,388,-15,,
1994-10-29T08:30:00.000Z,431,-14,,
1994-10-29T08:35:00.000Z,487,-17,,
1994-10-29T08:40:00.000Z,470,-18,,
1994-10-29T08:45:00.000Z,455,-16,,
1994-10-29T08:50:00.000Z,493,-17,,
1994-10-29T08:55:00.000Z,529,-18,,
1994-10-29T09:00:00.000Z,603,-21,,
1994-10-29T09:05:00.000Z,616,-23,,
1994-10-29T09:10:00.000Z,714,-23,,
1994-10-29T09:15:00.000Z,709,-26,,
1994-10-29T09:20:00.000Z,706,-28,,
1994-10-29T09:25:00.000Z,690,-30,,
1994-10-29T09:30:00.000Z,675,-30,,
1994-10-29T09:35:00.000Z,668,-34,,
1994-10-29T09:40:00.000Z,636,-37,,
1994-10-29T09:45:00.000Z,624,-39,,
1994-10-29T09:50:00.000Z,745,-42,,
1994-10-29T09:55:00.000Z,657,-47,,
1994-10-29T10:00:00.000Z,536,-48,,
1994-10-29T10:05:00.000Z,520,-48,,
1994-10-29T10:10:00.000Z,514,-49,,
1994-10-29T10:15:00.000Z,517,-55,,
1994-10-29T10:20:00.000Z,556,-60,,
1994-10-29T10:25:00.000Z,569,-62,,
1994-10-29T10:30:00.000Z,597,-66,,
1994-10-29T10:35:00.000Z,549,-69,,
1994-10-29T10:40:00.000Z,478,-70,,
1994-10-29T10:45:00.000Z,512,-74,,
1994-10-29T10:50:00.000Z,643,-80,,
1994-10-29T10:55:00.000Z,532,-81,,
1994-10-29T11:00:00.000Z,549,-84,,
1994-10-29T11:05:00.000Z,559,-91,,
1994-10-29T11:10:00.000Z,609,-88,,
1994-10-29T11:15:00.000Z,539,-92,,
1994-10-29T11:20:00.000Z,638,-95,,
1994-10-29T11:25:00.000Z,585,-95,,
1994-10-29T11:30:00.000Z,681,-94,,
1994-10-29T11:35:00.000Z,819,-91,,
1994-10-29T11:40:00.000Z,776,-93,,
1994-10-29T11:45:00.000Z,697,-96,,
1994-10-29T11:50:00.000Z,585,-95,,
1994-10-29T11:55:00.000Z,504,-94,,
1994-10-29T12:00:00.000Z,395,-91,,
1994-10-29T12:05:00.000Z,331,-94,,
1994-10-29T12:10:00.000Z,329,-92,,
1994-10-29T12:15:00.000Z,302,-89,,
1994-10-29T12:20:00.000Z,257,-85,,
1994-10-29T12:25:00.000Z,428,-87,,
1994-10-29T12:30:00.000Z,413,-82,,
1994-10-29T12:35:00.000Z,409,-75,,
1994-10-29T12:40:00.000Z,561,-74,,
1994-10-29T12:45:00.000Z,646,-70,,
1994-10-29T12:50:00.000Z,659,-72,,
1994-10-29T12:55:00.000Z,594,-72,,
1994-10-29T13:00:00.000Z,638,-73,,
1994-10-29T13:05:00.000Z,953,-78,,
1994-10-29T13:10:00.000Z,1242,-83,,
1994-10-29T13:15:00.000Z,1166,-89,,
1994-10-29T13:20:00.000Z,1239,-88,,
1994-10-29T13:25:00.000Z,1306,-85,,
1994-10-29T13:30:00.000Z,1534,-76,,
1994-10-29T13:35:00.000Z,1945,-76,,
1994-10-29T13:40:00.000Z,1499,-76,,
1994-10-29T13:45:00.000Z,1559,-73,,
1994-10-29T13:50:00.000Z,1355,-68,,
1994-10-29T13:55:00.000Z,1447,-72,,
1994-10-29T14:00:00.000Z,1482,-78,,
1994-10-29T14:05:00.000Z,1302,-83,,
1994-10-29T14:10:00.000Z,1316,-88,,
1994-10-29T14:15:00.000Z,1441,-94,,
1994-10-29T14:20:00.000Z,1673,-101,,
1994-10-29T14:25:00.000Z,1505,-109,,
1994-10-29T14:30:00.000Z,1709,-112,,
1994-10-29T14:35:00.000Z,1711,-111,,
1994-10-29T14:40:00.000Z,953,-115,,
1994-10-29T14:45:00.000Z,839,-115,,
1994-10-29T14:50:00.000Z,821,-119,,
1994-10-29T14:55:00.000Z,1160,-117,,
1994-10-29T15:00:00.000Z,1099,-116,,
1994-10-29T15:05:00.000Z,1034,-117,,
1994-10-29T15:10:00.000Z,1073,-116,,
1994-10-29T15:15:00.000Z,1112,-114,,
1994-10-29T15:20:00.000Z,1071,-110,,
1994-10-29T15:25:00.000Z,871,-106,,
1994-10-29T15:30:00.000Z,858,-104,,
1994-10-29T15:35:00.000Z,982,-87,,
1994-10-29T15:40:00.000Z,1115,-79,,
1994-10-29T15:45:00.000Z,959,-87,,
1994-10-29T15:50:00.000Z,898,-93,,
1994-10-29T15:55:00.000Z,945,-94,,
1994-10-29T16:00:00.000Z,858,-95,,
1994-10-29T16:05:00.000Z,791,-92,,
1994-10-29T16:10:00.000Z,716,-91,,
1994-10-29T16:15:00.000Z,606,-89,,
1994-10-29T16:20:00.000Z,474,-87,,
1994-10-29T16:25:00.000Z,407,-84,,
